Arsenal-Mac:bash gaurav$ ./maxTemp.sh 
1901	317
1902	244
1903	289
1904	256
1905	283
1906	294
1907	283
1908	289
1909	278
1910	294
1911	306
1912	322
1913	300
1914	333
1915	294
1916	278
1917	317
1918	322
1919	378
1920	294
1921	283
1922	278
1923	294
1924	294
1925	317
1926	489
1927	489
1928	378
1929	328
1930	400
1931	461
1932	489
1933	489
1934	478
1935	478
1936	550
1937	489
1938	489
1939	489
1940	489
1941	462
1942	479
1943	485
1944	507
1945	496
1946	494
1947	490
1948	601
1949	489
Arsenal-Mac:bash gaurav$ times
0m0.100s 0m0.108s
25m54.982s 1m13.778s
